input,target
Which subject does the course Essential Skills for Designers - Masking belong to?,Graphic Design
Is the course Essential Skills for Designers - Masking free or paid?,paid
How many students are enrolled in Essential Skills for Designers - Masking?,646
Is Essential Skills for Designers - Masking suitable for beginners?,No
What is the price of the course Essential Skills for Designers - Masking?,45
What is the level of the course Mastering Photoshop Elements 13 Made Easy Training Tutorial?,Beginner Level
Which subject does the course Mastering Photoshop Elements 13 Made Easy Training Tutorial belong to?,Graphic Design
Is the course Mastering Photoshop Elements 13 Made Easy Training Tutorial free or paid?,paid
How many students are enrolled in Mastering Photoshop Elements 13 Made Easy Training Tutorial?,1738
Is Mastering Photoshop Elements 13 Made Easy Training Tutorial suitable for beginners?,Yes
What is the price of the course Mastering Photoshop Elements 13 Made Easy Training Tutorial?,20
"What is the level of the course Become a Graphic Designer, and earn a living from it?",All Levels
"Which subject does the course Become a Graphic Designer, and earn a living from it belong to?",Graphic Design
"Is the course Become a Graphic Designer, and earn a living from it free or paid?",paid
"How many students are enrolled in Become a Graphic Designer, and earn a living from it?",2354
"Is Become a Graphic Designer, and earn a living from it suitable for beginners?",No
"What is the price of the course Become a Graphic Designer, and earn a living from it?",35
What is the level of the course Learn 2D Cell Shading in Photoshop?,Intermediate Level
Which subject does the course Learn 2D Cell Shading in Photoshop belong to?,Graphic Design
Is the course Learn 2D Cell Shading in Photoshop free or paid?,paid
How many students are enrolled in Learn 2D Cell Shading in Photoshop?,238
Is Learn 2D Cell Shading in Photoshop suitable for beginners?,No
What is the price of the course Learn 2D Cell Shading in Photoshop?,20
What is the level of the course Adobe Illustrator For Everyone: Create Detailed Vector Image?,All Levels
Which subject does the course Adobe Illustrator For Everyone: Create Detailed Vector Image belong to?,Graphic Design
Is the course Adobe Illustrator For Everyone: Create Detailed Vector Image free or paid?,paid
How many students are enrolled in Adobe Illustrator For Everyone: Create Detailed Vector Image?,165
Is Adobe Illustrator For Everyone: Create Detailed Vector Image suitable for beginners?,No
What is the price of the course Adobe Illustrator For Everyone: Create Detailed Vector Image?,185
What is the level of the course Learn Digital Drawing in Photoshop?,All Levels
Which subject does the course Learn Digital Drawing in Photoshop belong to?,Graphic Design
Is the course Learn Digital Drawing in Photoshop free or paid?,paid
How many students are enrolled in Learn Digital Drawing in Photoshop?,1080
Is Learn Digital Drawing in Photoshop suitable for beginners?,No
What is the price of the course Learn Digital Drawing in Photoshop?,20
What is the level of the course Quickly Batch Export & Package Logo Files for Clients?,Intermediate Level
Which subject does the course Quickly Batch Export & Package Logo Files for Clients belong to?,Graphic Design
Is the course Quickly Batch Export & Package Logo Files for Clients free or paid?,paid
How many students are enrolled in Quickly Batch Export & Package Logo Files for Clients?,489
Is Quickly Batch Export & Package Logo Files for Clients suitable for beginners?,No
What is the price of the course Quickly Batch Export & Package Logo Files for Clients?,20
What is the level of the course Logo Design for Everybody?,Beginner Level
Which subject does the course Logo Design for Everybody belong to?,Graphic Design
Is the course Logo Design for Everybody free or paid?,paid
How many students are enrolled in Logo Design for Everybody?,706
Is Logo Design for Everybody suitable for beginners?,Yes
What is the price of the course Logo Design for Everybody?,30
What is the level of the course Pixelmator - Create Vector Graphics From Scratch?,All Levels
Which subject does the course Pixelmator - Create Vector Graphics From Scratch belong to?,Graphic Design
Is the course Pixelmator - Create Vector Graphics From Scratch free or paid?,paid
How many students are enrolled in Pixelmator - Create Vector Graphics From Scratch?,507
Is Pixelmator - Create Vector Graphics From Scratch suitable for beginners?,No
What is the price of the course Pixelmator - Create Vector Graphics From Scratch?,20
What is the level of the course Creating an animated greeting card via Google Slides?,Intermediate Level
Which subject does the course Creating an animated greeting card via Google Slides belong to?,Graphic Design
Is the course Creating an animated greeting card via Google Slides free or paid?,paid
How many students are enrolled in Creating an animated greeting card via Google Slides?,770
Is Creating an animated greeting card via Google Slides suitable for beginners?,No
What is the price of the course Creating an animated greeting card via Google Slides?,20
What is the level of the course Most Wanted Flat Design Techniques #3: Office Space?,Intermediate Level
Which subject does the course Most Wanted Flat Design Techniques #3: Office Space belong to?,Graphic Design
Is the course Most Wanted Flat Design Techniques #3: Office Space free or paid?,paid
How many students are enrolled in Most Wanted Flat Design Techniques #3: Office Space?,1028
Is Most Wanted Flat Design Techniques #3: Office Space suitable for beginners?,No
What is the price of the course Most Wanted Flat Design Techniques #3: Office Space?,95
What is the level of the course Flat Design - Create Beautiful Flat Graphics In Photoshop?,All Levels
Which subject does the course Flat Design - Create Beautiful Flat Graphics In Photoshop belong to?,Graphic Design
Is the course Flat Design - Create Beautiful Flat Graphics In Photoshop free or paid?,paid
How many students are enrolled in Flat Design - Create Beautiful Flat Graphics In Photoshop?,545
Is Flat Design - Create Beautiful Flat Graphics In Photoshop suitable for beginners?,No
What is the price of the course Flat Design - Create Beautiful Flat Graphics In Photoshop?,20
What is the level of the course T-Shirt Design Workshop 01: Foundation?,All Levels
Which subject does the course T-Shirt Design Workshop 01: Foundation belong to?,Graphic Design
Is the course T-Shirt Design Workshop 01: Foundation free or paid?,paid
How many students are enrolled in T-Shirt Design Workshop 01: Foundation?,690
Is T-Shirt Design Workshop 01: Foundation suitable for beginners?,No
What is the price of the course T-Shirt Design Workshop 01: Foundation?,25
What is the level of the course Expert Guide : Mastering Shapes Creation with Illustrator?,All Levels
Which subject does the course Expert Guide : Mastering Shapes Creation with Illustrator belong to?,Graphic Design
Is the course Expert Guide : Mastering Shapes Creation with Illustrator free or paid?,paid
How many students are enrolled in Expert Guide : Mastering Shapes Creation with Illustrator?,2911
Is Expert Guide : Mastering Shapes Creation with Illustrator suitable for beginners?,No
What is the price of the course Expert Guide : Mastering Shapes Creation with Illustrator?,200
What is the level of the course Logo Portfolio in 1 Hour in Wordpress?,All Levels
Which subject does the course Logo Portfolio in 1 Hour in Wordpress belong to?,Graphic Design
Is the course Logo Portfolio in 1 Hour in Wordpress free or paid?,paid
How many students are enrolled in Logo Portfolio in 1 Hour in Wordpress?,734
Is Logo Portfolio in 1 Hour in Wordpress suitable for beginners?,No
What is the price of the course Logo Portfolio in 1 Hour in Wordpress?,100
What is the level of the course Complete Digital Painting Training with Corel Painter?,All Levels
Which subject does the course Complete Digital Painting Training with Corel Painter belong to?,Graphic Design
Is the course Complete Digital Painting Training with Corel Painter free or paid?,paid
How many students are enrolled in Complete Digital Painting Training with Corel Painter?,4353
Is Complete Digital Painting Training with Corel Painter suitable for beginners?,No
What is the price of the course Complete Digital Painting Training with Corel Painter?,30
What is the level of the course How to Design Simple Promotional Materials in Photoshop?,Beginner Level
